Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Arron,Afflalo",Den,25,24,82,110.5,0.556,0.575,8.8,1.7,5.2
"Andrea,Bargnani",Tor,27,24,80,113.9,0.523,0.552,17.2,1.2,6.4
"Andris,Biedrins",Gol,31,23,33,107.4,0.596,0.565,5,1.7,6.6
"Andray,Blatche",Was,25,23,81,107.3,0.485,0.519,14.1,2.1,7.2
"Andrew,Bogut",Mil,27,24,69,99.4,0.521,0.541,15.9,1.8,8.4
"Aaron,Brooks",Hou,29,25,82,111.8,0.511,0.549,19.6,5.3,7.9
"Andrew,Bynum",Lal,20,22,65,102,0.571,0.61,15,1,6.3
"Anthony,Carter",Den,21,34,54,107.9,0.467,0.482,3.3,3,4.2
"Austin,Daye",Det,24,21,69,110.3,0.514,0.546,5.1,0.5,2.5
"Alonzo,Gee",Was,29,22,11,110.7,0.543,0.572,7.4,0.6,3
"Aaron,Gray",Nor,29,24,24,106.4,0.557,0.612,3.6,0.8,3.2
"Al,Harrington",Nyk,25,29,72,111.9,0.503,0.546,17.7,1.5,6.3
"Al,Horford",Atl,28,23,81,105,0.552,0.594,14.2,2.3,9.3
"Andre,Iguodala",Phi,35,26,82,109.4,0.485,0.535,17.1,5.7,11.3
"Allen,Iverson",Phi,26,34,25,114.8,0.431,0.508,13.9,4.1,7.3
"Antawn,Jamison",Cle,26,33,25,102.2,0.525,0.53,15.8,1.3,6.9
"Antawn,Jamison",Was,24,33,41,109.8,0.493,0.529,20.5,1.3,7.6
"Al,Jefferson",Min,23,25,76,108.8,0.499,0.525,17.1,1.8,8.1
"Amir,Johnson",Tor,25,22,82,110.2,0.623,0.639,6.2,0.6,3.7
"Anthony,Johnson",Orl,35,35,31,105.2,0.5,0.543,4.2,2,3.4
"Andrei,Kirilenko",Uta,26,28,58,103.5,0.533,0.588,11.9,2.7,7.1
"Acie,Law",Chi,36,24,12,108.7,0.511,0.58,5.5,1.3,2.6
"Antonio,McDyess",San,22,35,77,103,0.479,0.492,5.8,1.1,5.1
"Andre,Miller",Por,26,33,82,108.4,0.454,0.53,14,5.4,8.1
"Anthony,Morrow",Gol,22,24,69,114.9,0.568,0.597,13,1.5,5.5
"Andres,Nocioni",Sac,26,30,75,111.5,0.48,0.504,8.5,1,3.9
"Anthony,Parker",Cle,23,34,81,106.6,0.549,0.577,7.3,1.9,5.4
"A.J.,Price",Ind,21,22,56,109.5,0.494,0.53,7.3,1.9,3.6
"Anthony,Randolph",Gol,32,20,33,108.2,0.445,0.521,11.6,1.3,5.8
"Amare,Stoudemire",Pho,28,27,82,109.3,0.557,0.615,23.1,1,6.7
"Al,Thornton",Was,37,26,24,110.7,0.477,0.517,10.7,1.2,5.2
"Al,Thornton",Lac,24,26,51,113.8,0.484,0.526,10.7,1.2,5
"Anthony,Tolliver",Gol,29,24,44,112.9,0.488,0.533,12.3,2,7.8
