Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Cle,28,11,7.9,6,2,1.4,0.27,0
"Andrea,Bargnani",Ind,28,10,19.3,18,10.5,1.4,0.4,0
"Andris,Biedrins",Pho,28,5,8.8,0,1.2,0.6,0,0
"Andray,Blatche",Chi,30,82,23,174,11.6,2,0.66,0.18
"Andrew,Bogut",Orl,19,47,17,61,5.2,3.6,0.45,0.47
"Aaron,Brooks",Atl,23,3,6.4,2,1.7,1.3,0.33,0
"Andrew,Bynum",Min,23,29,24.8,44,7.2,5.4,0.62,0.31
"Anthony,Carter",Atl,28,76,30.5,141,15.2,7.2,0.89,1.28
"Austin,Daye",Cha,30,65,30.6,165,16.6,8.4,0.72,1.29
"Alonzo,Gee",Bro,32,74,23.6,101,7.3,2.8,0.76,0.07
"Aaron,Gray",Uta,23,27,33.3,129,13.9,4.2,0.63,0.19
"Al,Harrington",Pho,21,69,22,104,6.3,6.6,0.49,1.52
"Al,Horford",Hou,26,9,6.6,11,3.2,0.4,0.11,0
"Andre,Iguodala",Phi,26,17,16.8,57,9.9,1.3,0.82,0.06
"Allen,Iverson",Nyk,26,16,26.4,82,14.8,4.6,0.94,0.31
"Antawn,Jamison",Nor,26,68,14.1,99,6.5,4.6,0.31,0.75
"Antawn,Jamison",Dal,24,74,18.5,118,5.6,4.6,0.95,0.84
"Al,Jefferson",Por,22,51,13.4,16,3.3,1.4,0.37,0.29
"Amir,Johnson",Den,27,39,13.1,65,4.9,1.8,0.72,0.15
"Anthony,Johnson",Por,27,15,10,12,3.4,1.6,0.47,0.07
"Andrei,Kirilenko",Nyk,32,36,24,127,12,6.8,0.56,0.94
"Acie,Law",Dal,32,23,16.5,59,10.8,3.7,0.39,0.17
"Antonio,McDyess",Tor,27,75,26.4,129,9.3,6.1,0.59,0.79
"Andre,Miller",Cle,32,26,24.4,45,9.8,6.5,0.73,0.62
"Anthony,Morrow",Mia,23,4,5.4,0,0.8,0.5,0,0
"Andres,Nocioni",Det,21,82,30.5,365,13.8,13.5,0.89,1.87
"Anthony,Parker",Gol,31,77,26.9,114,7.8,3.3,1.16,0.32
"A.J.,Price",Sac,38,30,20.7,38,5.7,2.5,0.6,0.13
"Anthony,Randolph",Was,38,51,12.4,39,3.6,1.5,0.27,0.04
"Amare,Stoudemire",Okc,23,67,19.2,48,3.4,3.8,0.79,0.43
"Al,Thornton",Nyk,29,29,27.1,107,14.8,4.4,0.07,0.93
"Al,Thornton",Bro,33,7,5.2,4,0.4,1.1,0.14,0
"Anthony,Tolliver",Gol,30,67,23.6,42,6.3,8.1,0.58,1.69
"Anderson,Varejao",Orl,25,40,12.3,25,4.9,2.1,0.15,0.3
"Antoine,Wright",Min,19,82,36.2,466,16.9,4.5,1.04,0.61
"Brandon,Bass",Min,21,57,15.7,64,5.2,3.8,0.47,0.28
"Bobby,Brown",Nor,21,68,36.1,461,24.4,10.2,1.47,2.94
"Bobby,Brown",Okc,29,74,24.4,89,10.7,2.6,0.73,0.15
"Brian,Cardinal",Det,29,52,22.3,63,7.7,3.7,0.38,0.29
"Baron,Davis",Pho,29,24,11.3,6,3.3,1.8,0.17,0.04
"Boris,Diaw",Pho,20,41,13,83,5.6,1.8,0.44,0.22
"Ben,Gordon",Min,27,6,11.4,8,4.5,3.5,0.17,0.5
"Brendan,Haywood",San,28,70,16,104,6.6,4.5,0.23,0.31
"Brendan,Haywood",Den,29,53,33,151,14.5,3.4,0.6,0.09
"Brandon,Jennings",Por,29,25,30.1,47,10.6,2.7,0.36,0.08
"Brook,Lopez",San,26,26,10.3,4,4,2.3,0.31,0.12
"Brad,Miller",Atl,26,8,9.5,2,3.3,1.8,0.5,0.25
"Brandon,Roy",Lac,22,41,19.3,55,7.1,2,0.73,0.17
"Brandon,Rush",Nor,22,35,22.1,71,6.8,1.9,0.51,0.2
"Brian,Scalabrine",Bos,24,77,31.5,100,13.9,3.1,1.05,0.19
"Bobby,Simmons",Orl,31,56,14.1,67,6.2,1.1,0.25,0.02
"Beno,Udrih",Sac,21,82,32.6,160,12.1,2.9,0.94,0.23
"Bill,Walker",Mem,32,79,18.9,102,7.7,1.8,0.58,0.1
"Ben,Wallace",Dal,29,16,9.9,23,2.8,2.4,0.13,0.94
"Chris,Andersen",Cha,22,64,19.4,175,4.8,6.4,0.28,1.55
"Carmelo,Anthony",Lac,25,67,35.2,427,21.9,7.6,0.94,0.52
"Carlos,Arroyo",Bro,25,78,23.8,106,9,2.7,0.44,0.12
"Chucky,Atkins",San,32,81,24.5,93,8.7,4.3,0.44,0.28
"Charlie,Bell",Was,21,63,33.5,166,15.3,3.8,1.19,0.29
"Chauncey,Billups",Bos,27,8,10.7,4,3.3,2.1,0.13,0.63
"Carlos,Boozer",Dal,27,27,18.7,48,8.8,4.1,0.63,1.56
"Chris,Bosh",Pho,27,40,21.5,60,7,4.9,0.8,1.18
"Corey,Brewer",Bos,29,82,23.5,214,10.6,4.9,0.51,0.39
"Chase,Budinger",Bro,23,7,6.3,4,2.3,1.4,0.14,0.43
"Caron,Butler",Phi,23,20,18.9,33,6.3,3.7,0.85,0.2
"Caron,Butler",Det,25,41,28.6,143,15.4,2.5,1.07,0.1
"Carlos,Delfino",Mil,23,52,32.5,194,17.8,4.3,1.62,0.17
"Chris,Douglas-Roberts",Pho,23,11,31.6,29,13.4,2.1,0.55,0.09
"Chris,Duhon",Gol,29,33,8.2,11,0.9,1.2,0.15,0.36
"Channing,Frye",Cle,35,22,5.4,13,1.6,1.3,0.09,0.45
"Chuck,Hayes",Cha,29,72,18.5,74,6.7,1.5,0.44,0.08
"Chris,Hunter",Bro,26,72,29.2,274,17.2,7.4,0.6,1.75
"Chris,Kaman",Uta,22,15,10.6,18,5.3,1.2,0.27,0
"Carl,Landry",Sac,31,70,17,150,7.2,3.8,0.21,0.24
"Carl,Landry",Lal,33,71,23.8,150,11.8,6.8,0.58,0.17
"Courtney,Lee",Nyk,30,40,35.7,237,24.2,6.6,1,0.43
"Corey,Maggette",Det,34,78,20.8,61,5.9,2.5,0.55,0.05
"Cartier,Martin",Det,30,23,8.6,0,1.6,0.9,0.13,0.04
"C.J.,Miles",Dal,26,66,33.1,193,15.7,4.9,1.05,0.29
"Chris,Paul",Orl,31,75,24.9,35,7.3,3.9,0.63,0.52
"Chris,Quinn",Tor,31,29,8.8,11,1.7,1.8,0.34,0.14
