Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Was,26,57,22.2,62,7.7,2,0.58,0.05
"Andrea,Bargnani",Sac,28,46,20.7,52,8,1.7,0.63,0.15
"Andris,Biedrins",Tor,28,42,12,44,2.8,3.2,0.17,0.12
"Andray,Blatche",Atl,26,74,37,208,17.4,10.2,1.05,1.05
"Andrew,Bogut",Uta,28,78,32.5,217,17.8,9.2,1.03,1.14
"Aaron,Brooks",Tor,30,65,22.8,147,10.7,2.3,0.74,0.11
"Andrew,Bynum",Uta,21,64,17.3,129,7,2.3,0.55,0.2
"Anthony,Carter",Min,24,77,23.7,151,8.6,2.3,0.7,0.35
"Austin,Daye",Orl,33,10,11.7,4,5.1,2.7,0.4,0.1
"Alonzo,Gee",Nor,22,76,27,137,7.3,7.7,1.21,0.67
"Aaron,Gray",Cle,25,82,30.8,205,10.3,3.9,1.3,0.35
"Al,Harrington",Nyk,30,29,23.3,130,14.2,5,0.34,0.72
"Al,Horford",Tor,25,81,28.5,187,10,7.5,1,1.36
"Andre,Iguodala",Cle,30,25,35.8,102,14.1,14.4,1.48,0.56
"Allen,Iverson",Bro,26,82,18.8,216,10.3,5.1,1.05,0.66
"Antawn,Jamison",Det,19,60,20.5,159,7.9,7.6,0.98,1.58
"Antawn,Jamison",Den,29,80,34.5,270,13,5.3,1.73,0.65
"Al,Jefferson",Den,36,82,26,194,9.6,2.9,0.88,0.13
"Amir,Johnson",Tor,27,35,28.4,77,12.7,3.7,0.6,0.66
"Anthony,Johnson",Min,31,64,31.6,250,12.4,5.7,1.5,0.97
"Andrei,Kirilenko",Gol,28,32,24.3,38,5.8,7.7,0.63,1.72
"Acie,Law",Orl,23,75,16.5,94,7.8,3.4,0.32,0.43
"Antonio,McDyess",Lal,36,76,21.4,136,9.4,4.8,0.39,0.29
"Andre,Miller",Nor,19,64,28.6,225,13.5,8.2,1.17,1.75
"Anthony,Morrow",Atl,27,24,12.3,18,5.2,1.1,0.5,0.04
"Andres,Nocioni",Atl,27,62,15.4,51,4.1,2.5,0.24,0.19
"Anthony,Parker",Phi,22,47,11.3,28,3.7,3.1,0.36,0.21
"A.J.,Price",Orl,27,64,35.8,223,16.5,3.7,0.63,0.17
"Anthony,Randolph",Det,24,24,14.3,18,5.1,2.6,0.21,0.33
"Amare,Stoudemire",Mem,24,31,10.4,16,4,1.9,0.29,0.45
"Al,Thornton",Nor,20,61,23,108,6.2,1.8,0.43,0.15
"Al,Thornton",Bos,22,50,28.5,49,9.2,2.2,1.3,0.38
"Anthony,Tolliver",Cha,29,75,20.6,127,11.2,1.7,0.47,0.21
"Anderson,Varejao",Mil,30,39,18.2,33,6.7,2,0.41,0.05
"Antoine,Wright",Orl,30,27,27.1,70,10.2,2.3,0.93,0.04
"Brandon,Bass",Cha,20,80,27.1,142,4.8,7.2,0.35,1.79
"Bobby,Brown",Lac,23,80,32.3,426,18,8.3,1.21,0.63
"Bobby,Brown",San,30,75,22.5,65,5.8,3.4,0.69,0.36
"Brian,Cardinal",Was,19,56,31,159,13.9,3.8,0.89,0.52
"Baron,Davis",Dal,25,64,17.8,96,8.5,4.1,0.41,1.19
"Boris,Diaw",Bos,27,81,27.4,150,8.7,5.2,0.54,0.79
"Ben,Gordon",Mil,23,80,36,281,17.5,3.1,1.56,0.14
"Brendan,Haywood",Det,21,75,31.3,225,13.3,3.3,0.77,0.11
"Brendan,Haywood",Min,28,5,24.1,10,5.8,2.8,0.6,0
"Brandon,Jennings",Gol,27,2,12.4,3,7,0.5,0,0
"Brook,Lopez",Cha,33,61,18.9,66,3.5,4.8,0.26,0.8
"Brad,Miller",Nor,27,78,16.8,77,7.1,1.2,0.47,0.04
"Brandon,Roy",Bro,24,74,30.2,392,19.4,6.9,0.45,2.08
"Brandon,Rush",Cha,23,53,26.7,99,10.6,6.4,0.64,0.6
"Brian,Scalabrine",Cle,25,65,20.8,107,11.2,2.7,0.75,0.26
"Bobby,Simmons",Bro,28,80,18.8,91,6.8,1.8,0.83,0.15
"Beno,Udrih",Gol,29,81,22.8,273,10.8,6,0.43,0.4
"Bill,Walker",Chi,31,79,31.8,264,16.2,9.8,0.84,0.35
"Ben,Wallace",Hou,30,67,25,56,10.6,3.3,1.01,0.13
"Chris,Andersen",Nyk,28,67,36.9,512,28.7,6.9,0.78,0.48
"Carmelo,Anthony",Lac,32,78,23.9,90,10.4,2.9,0.65,0.14
"Carlos,Arroyo",Was,28,41,16.7,28,6.6,2.4,0.46,0.17
"Chucky,Atkins",Hou,24,76,36.1,155,15.5,5.3,0.99,0.42
"Charlie,Bell",Phi,23,12,12.3,4,2.5,0.9,0.5,0.08
"Chauncey,Billups",Det,28,69,15.6,49,6.8,3.5,0.45,0.57
"Carlos,Boozer",Min,24,23,21.8,42,9.4,3.1,0.61,0.3
"Chris,Bosh",Lac,36,22,18.8,48,8.4,1.5,0.55,0.05
"Corey,Brewer",Mia,34,42,14.7,93,4.9,4.1,0.38,1.05
"Chase,Budinger",Mia,28,74,33,302,16.6,6.8,0.89,1.36
"Caron,Butler",Nyk,28,56,15.2,83,8.7,2.1,0.29,0.21
"Caron,Butler",Dal,25,6,10.4,10,2.8,0.8,0.33,0
"Carlos,Delfino",Lal,30,46,17.6,13,2.9,1.5,0.43,0.02
"Chris,Douglas-Roberts",Mem,22,8,12.6,2,3.6,1.4,0.5,0
"Chris,Duhon",Dal,30,66,20.6,85,10.5,5.6,0.47,0.76
"Channing,Frye",Lac,27,70,33.2,323,16.9,3.7,2.41,0.14
"Chuck,Hayes",Cle,29,7,11.1,2,1.4,0.3,0.43,0
"Chris,Hunter",Was,23,57,16,70,4.1,3.2,0.67,0.42
"Chris,Kaman",Bos,30,61,13.4,57,4.2,3,0.52,0.46
"Carl,Landry",Sac,29,74,16.1,48,2.7,4.1,0.42,0.24
"Carl,Landry",Sac,24,15,11.4,11,3.3,4.2,0.13,0.93
"Courtney,Lee",Den,26,82,24.2,216,12.1,2.9,1.44,0.28
"Corey,Maggette",Det,33,18,14.1,48,5.3,1.4,0.33,0.11
"Cartier,Martin",San,21,28,13.5,21,4.5,1.9,0.54,0.14
"C.J.,Miles",Bos,27,78,24.7,72,7.8,2.4,1.14,0.27
"Chris,Paul",Ind,25,76,16,99,4.7,1.2,0.45,0.04
"Chris,Quinn",Hou,25,16,10.1,3,3.4,1.1,0.38,0.13
"Chris,Richard",Dal,31,51,12.4,82,3.5,1.4,0.2,0.1
"Craig,Smith",Atl,31,28,13.4,31,3.1,1.1,0.43,0.04
"Charlie,Villanueva",Por,22,82,38.4,324,19.1,3.1,0.9,0.23
"C.J.,Watson",Phi,33,61,17.7,110,6.4,1.7,0.61,0.28
"Chris,Wilcox",Cle,26,46,19.8,37,5.4,1.3,0.65,0.09
"David,Andersen",Den,24,71,32.3,348,16.2,5.2,0.92,0.51
"Darrell,Arthur",Ind,29,5,14.5,8,5.4,1.8,0.4,0.2
"D.J.,Augustin",San,25,80,26.9,79,10.5,3.1,1.15,0.68
"DeJuan,Blair",Min,25,80,24.9,103,8.7,5.1,1.05,0.49
"Derrick,Brown",Nor,22,52,13.2,8,2.3,1.5,0.33,0.23
"Devin,Brown",Lal,22,48,14.1,37,4,1.2,0.44,0.04
"Devin,Brown",Mem,24,59,16.3,46,6.1,2.9,0.41,0.56
"DeMarre,Carroll",Dal,25,81,29.1,275,12,2.7,1.25,0.1
"Darren,Collison",Gol,29,79,36.3,320,18.5,11.2,0.85,0.28
"Daequan,Cook",Ind,32,73,33.1,315,17.2,7.7,1.03,0.95
"Dante,Cunningham",Lac,24,82,24.3,249,8.8,7.2,0.59,1.37
"DeMar,DeRozan",San,23,61,13.7,70,5.4,3.8,0.61,0.16
"DeSagana,Diop",Tor,23,82,36.6,427,18.1,3.9,0.93,0.29
"Derek,Fisher",Sac,22,75,30.3,423,17.1,11.3,1.44,0.73
"Dan,Gadzuric",Uta,26,66,16.6,98,6,2.8,0.88,0.35
"Danilo,Gallinari",Orl,22,63,12.6,51,3.7,1.7,0.3,0.35
"Devean,George",Dal,38,9,25.2,23,8.6,1.7,0.56,0.22
"Daniel,Gibson",Okc,38,24,14.2,15,4.1,0.9,0.58,0.04
"Drew,Gooden",Bro,28,78,36.2,369,18.9,3,0.96,0.38
"Drew,Gooden",Uta,21,77,22.9,260,9.4,7.1,0.87,1.69
"Danny,Granger",Min,21,78,24.4,271,11.9,5.5,0.56,0.47
"Donte,Greene",Cha,31,22,10.1,1,0.7,2.3,0.23,0.73
"Devin,Harris",Atl,31,56,20.5,23,5.1,2.2,0.52,0.11
"Dwight,Howard",Lal,23,19,10.2,14,3.4,2.2,0.16,0.05
"Dahntay,Jones",Atl,29,58,24.3,154,9.9,2,1.1,0.22
"DeAndre,Jordan",Cle,21,61,28.6,213,14.7,2.4,0.97,0.26
"David,Lee",Dal,34,53,31.2,193,17.3,6.8,0.7,0.66
"Darko,Milicic",Tor,27,15,15.2,6,2.1,3.2,0.33,0.53
"Dirk,Nowitzki",Nor,27,9,15.9,2,2.1,3.1,0.89,0.33
"Derrick,Rose",Dal,24,28,11.5,53,4.1,1.6,0.5,0.07
"Darius,Songaila",Cle,25,20,12.7,25,4.1,1.4,0.25,0
"DeShawn,Stevenson",Hou,22,44,12,51,5.7,2.1,0.14,0.23
"DeShawn,Stevenson",Phi,27,79,22.4,141,9.2,3.8,0.78,0.43
"DaJuan,Summers",Mil,21,23,12,15,3.4,0.7,0.3,0
"Dwyane,Wade",Orl,21,24,12.3,19,3.2,1.2,0.25,0
"David,West",Gol,22,79,13.2,55,2.9,3.3,0.53,0.32
"Delonte,West",Lal,27,76,35.6,721,17.1,12.4,1.11,2.45
"D.J.,White",Mia,31,69,34.4,424,21.2,5,1.86,0.81
"Damien,Wilkins",Was,31,11,10.9,5,2.5,3.9,0.45,0.45
